Category Title,Category URL,Subcategory Title,Subcategory URL,View More Exists,View More URL,Article Count
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,RL78/G16,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31838,False,,2
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,RL78/G15,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31712,True,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31712,6
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,RL78/G14 Fast Prototyping Board,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31146,True,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31146,6
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,RL78/G1P Fast Prototyping Board,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31231,True,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31231,7
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,"RL78/F23, RL78/F24",https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/32373,True,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/32373,6
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,RL78/F1x,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31406,True,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31406,6
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Solution,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31026,False,,5
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Product Migration,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31027,False,,3
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,A/D Converter,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31028,True,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31028,12
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Capacitive Touch,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31744,True,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31744,8
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Clock,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31029,False,,4
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Communication Function,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31031,True,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31031,18
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Data Transfer,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31032,False,,5
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Electrical Characteristics,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31033,False,,3
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,I/O Port,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31034,True,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31034,13
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Interrupt/Exception,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31035,True,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31035,6
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Low Voltage Detection,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31036,False,,1
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Memory,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31037,True,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31037,9
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Real Time Clock (RTC),https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31038,False,,0
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Register,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31039,False,,5
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Reset,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31040,False,,5
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Timer/Pulse Function,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31041,True,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31041,9
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Others,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31042,True,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31042,15
RL78 Family,https://en-support.renesas.com/knowledgeBase/category/31025,Renesas Ready Partner Network,https://en-support.renesas.com/knowledgeBase/category/31025/subcategory/31699,False,,5
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,"RX72M, RX72N, RX66N",https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/31187,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/31187,6
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,RX671,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/31477,False,,5
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,RX660,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/31651,False,,5
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,RX65N/RX651,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30944,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30944,18
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,RX261/RX260,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/33179,False,,5
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,RX23E-A,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/31181,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/31181,6
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,RX23E-B,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/32235,False,,5
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,RX23W,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/31141,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/31141,10
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,RX140,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/31496,False,,5
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,RX130,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30943,False,,4
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,RX26T,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/31824,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/31824,6
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,RX-T,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/31184,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/31184,6
